CLOSEDATE,Company_House_Number,LEGALNAME,LIVE,NAME,OPENDATE,UKPRN,URN,DataSourcePath,DataSourceId
25/01/2021,SC265663,ACE CORNTON,FALSE,null,19/12/2020,10000095,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
19/07/2011,NI031655,AGENCIES IN CONSORTIUM FOR EDUCATION & TRAINING LIMITED,FALSE,ACET,26/08/2009,10000096,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
02/09/2010,04980924,AFRO-CARIBBEAN EDUCATION AND TRAINING SERVICES (ACETS) LTD,FALSE,ACETS,16/04/2007,10000097,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,04438242,ACHIEVE UK LIMITED,TRUE,null,18/02/2024,10000098,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,03226440,ACHIEVEMENT TRAINING LIMITED,TRUE,null,26/11/2023,10000099,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
30/08/2018,null,ACKLAM GRANGE SCHOOL,FALSE,null,27/06/2018,10000100,111751,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,null,ACLAND BURGHLEY SCHOOL,TRUE,null,14/07/2026,10000101,100053,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
12/05/2008,02820398,ACOM BUSINESS SERVICES LIMITED,FALSE,null,16/04/2007,10000102,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
26/01/2009,04772555,ACORD LIMITED,FALSE,null,16/04/2007,10000103,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
19/07/2011,04086049,ACORN CENTRE (TODMORDEN) LIMITED,FALSE,null,16/04/2007,10000104,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,04217753,APPRENTICESHIP LEARNING SOLUTIONS LIMITED,TRUE,ALS Training,27/03/2026,10000105,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
21/12/2011,04561264,ACORN MANAGEMENT ASSOCIATES LIMITED,FALSE,null,21/12/2011,10000106,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,NI029665,ACORN THE BUSINESS CENTRE LTD,TRUE,null,10/06/2025,10000107,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
